Shape,Year,Site_Name,Name,Nest_ID,POINT_X,POINT_Y,Nest,Develop,Jetty,Saltmarsh,Elevation,Development,Dune,Bay,Mudflat,Inlet
Point,2013,SHPT,SHPT_12_01,2013SHPT_12_01,412743.9264,70935.16563,1,0,2539.050543,744.890242,3.361038,3482.019677,540.853379,549.836452,10410.73679,4039.932735
Point,2013,SHPT,SHPT_13_01,2013SHPT_13_01,412430.7906,71745.44705,1,0,2466.205583,17.978324,1.339179,2985.041732,0,394.891393,9866.1668,4242.690243
Point,2013,SHPT,SHPT_13_02,2013SHPT_13_02,412430.7906,71745.44705,1,0,2466.205583,17.978324,1.339179,2985.041732,0,394.891393,9866.1668,4242.690243
Point,2013,SHPT,SHPT_14_01,2013SHPT_14_01,411084.0087,70029.83424,1,0,2953.122169,2081.071887,1.712003,3003.862791,2091.582344,246.411065,9258.080458,2158.620984
Point,2013,SHPT,SHPT_14_02,2013SHPT_14_02,411084.0087,70029.83424,1,0,2953.122169,2081.071887,1.712003,3003.862791,2091.582344,246.411065,9258.080458,2158.620984
Point,2013,SHPT,SHPT_15_01,2013SHPT_15_01,412428.919,71138.46425,1,0,2698.151851,593.701539,2.025173,3469.74577,411.894976,526.800592,10046.1832,3894.492419
Point,2013,SHPT,SHPT_15_02,2013SHPT_15_02,412507.5146,71037.05758,1,0,2680.216027,674.703353,2.148951,3511.867568,492.25059,630.238259,10153.86325,3902.192267
Point,2013,SHPT,SHPT_16_01,2013SHPT_16_01,412110.7852,70330.12949,1,0,3408.656647,1451.026907,2.135827,4065.75011,1280.499409,537.48139,10047.46064,3175.850237
Point,2013,SHPT,SHPT_16_02,2013SHPT_16_02,412902.0519,71035.84527,1,0,2351.937823,599.088184,2.561399,3320.387274,411.768507,500.122358,10527.01758,4227.291675
Point,2013,SHPT,SHPT_17_01,2013SHPT_17_01,410923.9633,69322.18337,1,0,2582.828209,2702.906605,-1.927387,2629.140329,2747.681774,377.883987,9118.836683,1627.309504
Point,2013,SHPT,SHPT_18_01,2013SHPT_18_01,413060.7953,71338.8532,1,0,2050.753401,277.615186,2.596237,2978.425144,100.803933,566.643146,10585.18739,4529.285805
Point,2013,SHPT,SHPT_18_02,2013SHPT_18_02,412190.0077,70431.04916,1,0,3284.327699,1334.356179,2.274716,4177.852858,1158.479855,562.966759,10079.45696,3298.191606
Point,2013,SHPT,SHPT_19_01,2013SHPT_19_01,411952.3385,70128.29126,1,0,3658.138059,1689.434389,3.240741,3844.583137,1527.62887,468.560054,9988.103738,2931.166719
Point,2013,SHPT,SHPT_20_01,2013SHPT_20_01,411241.1968,69827.01233,1,0,3025.374791,2226.078723,2.723097,3073.186815,2152.294379,494.279047,9493.269188,2174.013286
Point,2013,SHPT,SHPT_21_01,2013SHPT_21_01,410686.2689,69019.43715,1,0,2282.355188,2458.834522,-1.788484,2346.306139,3132.030751,96.638523,8833.052403,1260.270396
Point,2013,SHPT,SHPT_22_01,2013SHPT_22_01,413693.2754,71741.58494,1,0,1301.007984,430.191101,2.720115,2339.159992,186.229308,339.107758,11087.06788,5278.710918
Point,2013,NWHI,NWHI_01_01,2013NWHI_01_01,409878.7947,63255.61328,1,1,271.068229,2779.497444,2.788714,297.547672,0,14.898176,8785.647217,611.497218
Point,2013,NWHI,NWHI_02_01,2013NWHI_02_01,409956.7616,62951.87199,1,1,254.369955,2913.237603,3.404502,285.918353,0,90.694632,8963.74022,608.96561
Point,2013,CMNWR,CMNWR_01_01,2013CMNWR_01_01,391249.3419,43030.97434,1,1,102.392518,1328.592788,7.649404,664.814761,25.357267,1386.927231,10026.74981,4553.056793
Point,2013,CMNWR,CMNWR_01_02,2013CMNWR_01_02,391056.9791,42724.18467,1,1,173.50934,1483.599832,5.826224,595.885752,85.906084,1615.236254,10139.46446,4224.2909
